date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2011-05-02,11160572.28,50202,496.0626,93.801288,683.5053,9895.7553,17737.811999999998,13.145885714285713,147.45399999999998,99.59092857142858,251.8311857142857,823.4220857142857,103.0,107.6,102.7,361.02,30914
2011-05-09,12753392.52,53976,443.9808,94.247692,621.3867,9853.6695,22579.238,39.42947142857143,391.9868571428571,122.22080000000001,274.26624285714286,1445.9870142857144,103.0,107.6,102.7,361.02,35326
2011-05-16,15437215.2,55068,420.7016,92.127493,565.5966,9663.4163,19978.952,39.369414285714285,221.27228571428572,121.06492857142858,242.75974285714287,1480.6818,103.0,107.6,102.7,361.02,42760
2011-05-23,12954119.639999999,44287,428.16790000000003,93.40387799999999,558.6093,9741.4501,29062.334000000003,20.717914285714283,832.1458571428572,112.6753142857143,245.74024285714287,945.7662142857143,103.0,107.6,102.7,361.02,35882
2011-05-30,12532087.26,39022,436.304,92.287161,565.4009,9613.0597,31281.524,17.926114285714284,993.2442857142858,99.84415714285714,229.86362857142856,901.8376428571429,103.0,107.6,102.7,361.02,34713
2011-06-06,13580128.32,39522,381.814,89.636924,526.4261,9307.6934,24933.095,18.71557142857143,1311.8301428571428,101.03897142857143,250.83115714285714,1060.3636285714285,102.5,107.6,102.7,361.02,37616
2011-06-13,15764660.34,42774,354.7749,84.56999,540.535,8830.0576,29850.763000000003,59.54742857142857,1036.411,415.05195714285713,259.5909285714286,1981.3116714285716,102.5,107.6,102.7,361.02,43667
2011-06-20,14902905.6,45906,291.8294,74.084418,559.6777999999999,7763.7485,27513.476,42.25668571428571,1195.838714285714,105.64285714285714,249.33765714285713,946.8246857142857,102.5,107.6,102.7,361.02,41280
2011-06-27,14128156.68,47225,315.7636,77.068031,573.8597,8018.8915,27621.426,48.05278571428572,829.3678428571429,239.05645714285714,532.4258714285714,2003.7597428571428,102.5,107.6,102.7,361.02,39134
2011-07-04,15664296.78,43714,290.9996,77.919833,531.9908,8071.5948,15524.955000000002,24.650857142857145,369.77875714285716,138.7000857142857,335.47555714285716,1136.7922142857144,102.5,107.6,102.7,361.02,43389
2011-07-11,13504675.139999999,40772,335.687,82.000547,575.7054,8525.0092,17510.586,31.252914285714287,80.4038857142857,136.16067142857142,331.5783571428571,1093.857142857143,102.5,107.6,102.7,361.02,37407
2011-07-18,15388838.52,44233,493.0872,92.657897,688.2157,9765.169100000001,27220.714,26.565371428571428,132.92171428571427,112.46102857142857,281.7727142857143,974.4870285714286,102.5,107.6,102.7,361.02,42626
2011-07-25,15166450.2,46417,533.0035,95.110495,729.1392,10048.5614,19774.524,46.68695714285714,131.58314285714286,110.74674285714286,257.5584285714286,953.5649285714286,102.5,107.6,102.7,361.02,42010
